fold,train_acc,test_acc
0,0.8715516357296688,0.8663863822805579
1,0.8788585786073223,0.8731542247744053
2,0.8682186442416162,0.8710008203445447
3,0.8683981130140498,0.8510049220672683
4,0.8888062762793559,0.8977645611156686
